Precision,m,n,k,CUBLAS GFLOPS,ISM2 GFLOPS,Speedup
Single,10000,2,2,11.6812,6.51483,0.557719241173852
Double,10000,2,2,11.6572,6.87834,0.590050784064784
Single,10000,4,2,22.4497,11.2582,0.501485543236658
Double,10000,4,2,20.3103,12.8713,0.6337326381195747
Single,10000,8,2,39.2095,18.6338,0.4752368686160242
Double,10000,8,2,33.5278,20.7866,0.6199810306670882
Single,10000,16,2,69.4734,31.0193,0.44649175079958664
Double,10000,16,2,44.8169,31.7803,0.7091141957609741
Single,10000,2,4,22.0187,12.9782,0.5894171772175469
Double,10000,2,4,21.0864,13.8573,0.6571676530844526
Single,10000,4,4,42.0521,22.5459,0.5361420713828797
Double,10000,4,4,37.3804,25.4738,0.6814747835764197
Single,10000,8,4,73.0407,36.9481,0.5058563239399403
Double,10000,8,4,60.3355,40.4302,0.6700897481582153
Single,10000,16,4,130.984,62.0733,0.47389986563244363
Double,10000,16,4,78.7929,62.3889,0.7918086528100882
Single,10000,2,8,44.3341,25.7666,0.5811914530801348
Double,10000,2,8,42.6548,26.1465,0.6129790785562235
Single,10000,4,8,83.3125,44.601,0.5353458364591148
Double,10000,4,8,70.1557,48.6169,0.6929857445653027
Single,10000,8,8,142.217,72.317,0.508497577645429
Double,10000,8,8,112.695,78.18,0.6937308664980701
Single,10000,16,8,265.587,120.963,0.45545527454280516
Double,10000,16,8,147.444,118.903,0.8064282032500476
Single,10000,2,16,83.5073,50.0726,0.5996194344686033
Double,10000,2,16,74.7775,51.0543,0.6827494901541239
Single,10000,4,16,141.074,86.5239,0.6133227951287976
Double,10000,4,16,130.039,95.6206,0.7353224801790232
Single,10000,8,16,271.389,144.025,0.5306957909126752
Double,10000,8,16,197.151,157.586,0.7993162601254876
Single,10000,16,16,473.457,235.315,0.49701451240556166
Double,10000,16,16,255.029,225.97,0.8860560955812868
Single,100000,2,2,25.8885,31.0667,1.2000193135948394
Double,100000,2,2,50.2674,32.0496,0.6375822103391064
Single,100000,4,2,51.3063,51.2652,0.9991989287865233
Double,100000,4,2,57.5878,48.3176,0.8390249323641465
Single,100000,8,2,102.363,71.6363,0.6998261090433068
Double,100000,8,2,62.1635,44.5462,0.7165973601872482
Single,100000,16,2,202.417,84.9293,0.4195759249470153
Double,100000,16,2,66.4779,48.0171,0.7223016972557796
Single,100000,2,4,51.488,61.4568,1.193614045991299
Double,100000,2,4,87.5779,63.7479,0.727899390142947
Single,100000,4,4,102.402,102.108,0.9971289623249546
Double,100000,4,4,93.6277,88.862,0.9490994652223647
Single,100000,8,4,203.5,142.468,0.700088452088452
Double,100000,8,4,92.1727,85.9269,0.932238070491588
Single,100000,16,4,397.448,167.388,0.4211569815422395
Double,100000,16,4,98.4276,93.009,0.9449483681406435
Single,100000,2,8,107.202,122.814,1.1456316113505345
Double,100000,2,8,107.898,89.3943,0.8285074792859923
Single,100000,4,8,213.129,203.269,0.9537369386615618
Double,100000,4,8,155.987,129.191,0.8282164539352639
Single,100000,8,8,413.283,276.893,0.6699840061168738
Double,100000,8,8,176.513,152.088,0.8616249228102179
Single,100000,16,8,705.866,310.721,0.44019828126018257
Double,100000,16,8,189.87,173.893,0.915852952019803
Single,100000,2,16,158.22,191.891,1.2128112754392617
Double,100000,2,16,141.329,112.641,0.7970126442556021
Single,100000,4,16,301.869,328.494,1.0882005108176063
Double,100000,4,16,233.743,179.252,0.7668764412196302
Single,100000,8,16,571.453,442.214,0.7738414182793686
Double,100000,8,16,257.279,227.979,0.8861158508856145
Single,100000,16,16,1039.04,559.562,0.5385374961502926
Double,100000,16,16,274.453,286.283,1.0431039194324714
Single,1000000,2,2,30.7109,44.1323,1.437023988225679
Double,1000000,2,2,62.1792,41.4363,0.6664013046163347
Single,1000000,4,2,116.36,66.7569,0.5737100378136817
Double,1000000,4,2,63.088,48.7351,0.7724939766675121
Single,1000000,8,2,121.708,85.6878,0.7040441055641371
Double,1000000,8,2,64.1633,53.049,0.8267810414988006
Single,1000000,16,2,176.94,94.9345,0.5365349836102634
Double,1000000,16,2,67.8541,58.7421,0.8657118729745145
Single,1000000,2,4,70.8788,100.454,1.4172644006388369
Double,1000000,2,4,98.3099,73.814,0.7508297740105523
Single,1000000,4,4,207.16,147.983,0.7143415717319946
Double,1000000,4,4,112.756,95.2849,0.8450539217425236
Single,1000000,8,4,241.575,169.446,0.7014219186588017
Double,1000000,8,4,102.503,102.404,0.9990341746095236
Single,1000000,16,4,348.982,185.388,0.531225106165934
Double,1000000,16,4,105.79,110.986,1.0491161735513754
Single,1000000,2,8,144.991,185.9,1.2821485471512024
Double,1000000,2,8,150.791,109.761,0.7279015325848359
Single,1000000,4,8,419.969,279.436,0.6653729203822186
Double,1000000,4,8,221.185,152.138,0.6878314533083166
Single,1000000,8,8,567.927,363.364,0.6398075809038837
Double,1000000,8,8,223.703,190.191,0.850194230743441
Single,1000000,16,8,808.968,392.331,0.4849771560803394
Double,1000000,16,8,226.306,196.643,0.8689252604880118
Single,1000000,2,16,239.395,267.425,1.1170868230330626
Double,1000000,2,16,176.211,142.17,0.8068168275533308
Single,1000000,4,16,580.735,424.214,0.7304777566359871
Double,1000000,4,16,301.142,213.673,0.709542342150879
Single,1000000,8,16,851.763,604.389,0.7095741421029089
Double,1000000,8,16,304.469,289.082,0.949462835296861
Single,1000000,16,16,1222.75,749.835,0.6132365569413208
Double,1000000,16,16,307.021,336.395,1.0956742372671575
Single,10000000,2,2,27.1865,54.7481,2.013797289095691
Double,10000000,2,2,71.9172,48.3699,0.6725776309422503
Single,10000000,4,2,54.1232,80.2172,1.482122269193248
Double,10000000,4,2,74.1989,55.9561,0.7541365168486326
Single,10000000,8,2,107.422,98.1707,0.9138789074863621
Double,10000000,8,2,74.3736,61.3165,0.8244390482644379
Single,10000000,16,2,211.452,101.885,0.4818351209730814
Double,10000000,16,2,74.425,62.5455,0.8403829358414511
Single,10000000,2,4,54.0161,109.343,2.0242668389609766
Double,10000000,2,4,102.05,78.1805,0.7660999510044095
Single,10000000,4,4,107.446,159.71,1.4864210859408449
Double,10000000,4,4,115.841,100.09,0.8640291433948257
Single,10000000,8,4,212.866,195.579,0.9187892852780623
Double,10000000,8,4,115.984,115.764,0.998103186646434
Single,10000000,16,4,416.569,202.202,0.48539857742654874
Double,10000000,16,4,116.026,121.036,1.043179976901729
Single,10000000,2,8,100.15,207.795,2.0748377433849226
Double,10000000,2,8,156.982,113.958,0.7259303614427132
Single,10000000,4,8,223.454,303.208,1.3569146222488746
Double,10000000,4,8,228.247,160.702,0.7040705901939565
Single,10000000,8,8,438.315,383.351,0.8746015993064349
Double,10000000,8,8,227.994,205.577,0.901677237120275
Single,10000000,16,8,831.374,398.775,0.47965777135200277
Double,10000000,16,8,228.143,225.492,0.988380094940454
Single,10000000,2,16,167.234,286.229,1.7115478909791069
Double,10000000,2,16,179.475,145.497,0.8106811533639784
Single,10000000,4,16,330.378,448.934,1.35884956020074
Double,10000000,4,16,307.807,225.34,0.7320821163911152
Single,10000000,8,16,644.141,637.961,0.9904058272955767
Double,10000000,8,16,308.256,322.525,1.0462894477317555
Single,10000000,16,16,1229.52,765.915,0.6229382197930899
Double,10000000,16,16,308.202,393.616,1.2771364235144482
